/home/zz/anaconda3/lib/python3.8/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. The given 'InMemoryDataset' only references a subset of examples of the full dataset, but 'data' will contain information of the full dataset. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)

  0%|          | 0/300 [00:00<?, ?it/s]
epoch 0 | lr=0.001 | train loss 0.165 | val loss: 749.982 | test loss: 752.439 | best test loss 752.439 | best_test_delta 2875.539:   0%|          | 0/300 [02:48<?, ?it/s]
epoch 0 | lr=0.001 | train loss 0.165 | val loss: 749.982 | test loss: 752.439 | best test loss 752.439 | best_test_delta 2875.539:   0%|          | 1/300 [02:48<14:00:49, 168.73s/it]
epoch 1 | lr=0.001 | train loss 0.140 | val loss: 363.870 | test loss: 364.077 | best test loss 364.077 | best_test_delta 1390.583:   0%|          | 1/300 [05:08<14:00:49, 168.73s/it]
epoch 16 | lr=0.001 | train loss 0.034 | val loss: 154.436 | test loss: 154.538 | best test loss 152.744 | best_test_delta 500.939:   6%|▌         | 17/300 [40:08<10:57:19, 139.36s/it]
epoch 17 | lr=0.001 | train loss 0.026 | val loss: 142.141 | test loss: 142.683 | best test loss 152.744 | best_test_delta 500.939:   6%|▌         | 17/300 [42:27<10:57:19, 139.36s/it]
epoch 17 | lr=0.001 | train loss 0.026 | val loss: 142.141 | test loss: 142.683 | best test loss 152.744 | best_test_delta 500.939:   6%|▌         | 18/300 [42:27<10:55:05, 139.38s/it]
epoch 18 | lr=0.001 | train loss 0.047 | val loss: 164.645 | test loss: 168.802 | best test loss 152.744 | best_test_delta 500.939:   6%|▌         | 18/300 [44:47<10:55:05, 139.38s/it]
epoch 18 | lr=0.001 | train loss 0.047 | val loss: 164.645 | test loss: 168.802 | best test loss 152.744 | best_test_delta 500.939:   6%|▋         | 19/300 [44:48<10:54:45, 139.81s/it]
epoch 19 | lr=0.001 | train loss 0.033 | val loss: 132.691 | test loss: 133.910 | best test loss 133.910 | best_test_delta 418.003:   6%|▋         | 19/300 [47:07<10:54:45, 139.81s/it]
epoch 19 | lr=0.001 | train loss 0.033 | val loss: 132.691 | test loss: 133.910 | best test loss 133.910 | best_test_delta 418.003:   7%|▋         | 20/300 [47:08<10:52:06, 139.74s/it]
epoch 20 | lr=0.001 | train loss 0.030 | val loss: 122.842 | test loss: 123.893 | best test loss 133.910 | best_test_delta 418.003:   7%|▋         | 20/300 [49:27<10:52:06, 139.74s/it]
epoch 20 | lr=0.001 | train loss 0.030 | val loss: 122.842 | test loss: 123.893 | best test loss 133.910 | best_test_delta 418.003:   7%|▋         | 21/300 [49:28<10:50:55, 139.99s/it]
epoch 21 | lr=0.001 | train loss 0.029 | val loss: 143.827 | test loss: 145.853 | best test loss 133.910 | best_test_delta 418.003:   7%|▋         | 21/300 [51:47<10:50:55, 139.99s/it]
epoch 21 | lr=0.001 | train loss 0.029 | val loss: 143.827 | test loss: 145.853 | best test loss 133.910 | best_test_delta 418.003:   7%|▋         | 22/300 [51:48<10:47:57, 139.85s/it]
epoch 22 | lr=0.001 | train loss 0.027 | val loss: 127.574 | test loss: 130.173 | best test loss 130.173 | best_test_delta 373.320:   7%|▋         | 22/300 [54:06<10:47:57, 139.85s/it]
epoch 22 | lr=0.001 | train loss 0.027 | val loss: 127.574 | test loss: 130.173 | best test loss 130.173 | best_test_delta 373.320:   8%|▊         | 23/300 [54:07<10:45:10, 139.75s/it]
epoch 23 | lr=0.001 | train loss 0.021 | val loss: 116.412 | test loss: 118.333 | best test loss 130.173 | best_test_delta 373.320:   8%|▊         | 23/300 [56:30<10:45:10, 139.75s/it]
epoch 23 | lr=0.001 | train loss 0.021 | val loss: 116.412 | test loss: 118.333 | best test loss 130.173 | best_test_delta 373.320:   8%|▊         | 24/300 [56:31<10:48:52, 141.06s/it]
epoch 24 | lr=0.001 | train loss 0.022 | val loss: 115.429 | test loss: 116.897 | best test loss 116.897 | best_test_delta 341.342:   8%|▊         | 24/300 [58:50<10:48:52, 141.06s/it]
epoch 24 | lr=0.001 | train loss 0.022 | val loss: 115.429 | test loss: 116.897 | best test loss 116.897 | best_test_delta 341.342:   8%|▊         | 25/300 [58:51<10:44:33, 140.63s/it]
epoch 25 | lr=0.001 | train loss 0.021 | val loss: 150.483 | test loss: 153.138 | best test loss 116.897 | best_test_delta 341.342:   8%|▊         | 25/300 [1:01:09<10:44:33, 140.63s/it]
epoch 25 | lr=0.001 | train loss 0.021 | val loss: 150.483 | test loss: 153.138 | best test loss 116.897 | best_test_delta 341.342:   9%|▊         | 26/300 [1:01:11<10:41:03, 140.38s/it]
epoch 26 | lr=0.001 | train loss 0.024 | val loss: 121.385 | test loss: 122.545 | best test loss 116.897 | best_test_delta 341.342:   9%|▊         | 26/300 [1:03:29<10:41:03, 140.38s/it]
epoch 26 | lr=0.001 | train loss 0.024 | val loss: 121.385 | test loss: 122.545 | best test loss 116.897 | best_test_delta 341.342:   9%|▉         | 27/300 [1:03:30<10:37:17, 140.06s/it]
epoch 27 | lr=0.001 | train loss 0.029 | val loss: 140.415 | test loss: 140.799 | best test loss 116.897 | best_test_delta 341.342:   9%|▉         | 27/300 [1:05:49<10:37:17, 140.06s/it]
epoch 27 | lr=0.001 | train loss 0.029 | val loss: 140.415 | test loss: 140.799 | best test loss 116.897 | best_test_delta 341.342:   9%|▉         | 28/300 [1:05:50<10:35:21, 140.15s/it]
epoch 28 | lr=0.001 | train loss 0.028 | val loss: 154.662 | test loss: 157.693 | best test loss 116.897 | best_test_delta 341.342:   9%|▉         | 28/300 [1:08:13<10:35:21, 140.15s/it]
epoch 28 | lr=0.001 | train loss 0.028 | val loss: 154.662 | test loss: 157.693 | best test loss 116.897 | best_test_delta 341.342:  10%|▉         | 29/300 [1:08:14<10:37:14, 141.09s/it]
epoch 29 | lr=0.001 | train loss 0.021 | val loss: 112.747 | test loss: 115.302 | best test loss 115.302 | best_test_delta 338.262:  10%|▉         | 29/300 [1:10:45<10:37:14, 141.09s/it]
epoch 29 | lr=0.001 | train loss 0.021 | val loss: 112.747 | test loss: 115.302 | best test loss 115.302 | best_test_delta 338.262:  10%|█         | 30/300 [1:10:46<10:49:35, 144.35s/it]
epoch 30 | lr=0.001 | train loss 0.022 | val loss: 130.456 | test loss: 133.238 | best test loss 115.302 | best_test_delta 338.262:  10%|█         | 30/300 [1:13:05<10:49:35, 144.35s/it]
epoch 30 | lr=0.001 | train loss 0.022 | val loss: 130.456 | test loss: 133.238 | best test loss 115.302 | best_test_delta 338.262:  10%|█         | 31/300 [1:13:06<10:41:24, 143.06s/it]
epoch 31 | lr=0.001 | train loss 0.020 | val loss: 112.771 | test loss: 114.850 | best test loss 115.302 | best_test_delta 338.262:  10%|█         | 31/300 [1:15:24<10:41:24, 143.06s/it]
epoch 31 | lr=0.001 | train loss 0.020 | val loss: 112.771 | test loss: 114.850 | best test loss 115.302 | best_test_delta 338.262:  11%|█         | 32/300 [1:15:25<10:34:04, 141.96s/it]
epoch 32 | lr=0.001 | train loss 0.018 | val loss: 111.070 | test loss: 113.632 | best test loss 113.632 | best_test_delta 331.328:  11%|█         | 32/300 [1:17:45<10:34:04, 141.96s/it]
epoch 32 | lr=0.001 | train loss 0.018 | val loss: 111.070 | test loss: 113.632 | best test loss 113.632 | best_test_delta 331.328:  11%|█         | 33/300 [1:17:47<10:31:04, 141.81s/it]
epoch 33 | lr=0.001 | train loss 0.015 | val loss: 98.844 | test loss: 100.812 | best test loss 100.812 | best_test_delta 304.630:  11%|█         | 33/300 [1:20:05<10:31:04, 141.81s/it] 
epoch 33 | lr=0.001 | train loss 0.015 | val loss: 98.844 | test loss: 100.812 | best test loss 100.812 | best_test_delta 304.630:  11%|█▏        | 34/300 [1:20:07<10:26:46, 141.38s/it]
epoch 34 | lr=0.001 | train loss 0.024 | val loss: 125.903 | test loss: 127.025 | best test loss 100.812 | best_test_delta 304.630:  11%|█▏        | 34/300 [1:22:26<10:26:46, 141.38s/it]
epoch 34 | lr=0.001 | train loss 0.024 | val loss: 125.903 | test loss: 127.025 | best test loss 100.812 | best_test_delta 304.630:  12%|█▏        | 35/300 [1:22:27<10:22:46, 141.00s/it]
epoch 35 | lr=0.001 | train loss 0.019 | val loss: 100.043 | test loss: 101.890 | best test loss 101.890 | best_test_delta 274.048:  12%|█▏        | 35/300 [1:24:46<10:22:46, 141.00s/it]
epoch 35 | lr=0.001 | train loss 0.019 | val loss: 100.043 | test loss: 101.890 | best test loss 101.890 | best_test_delta 274.048:  12%|█▏        | 36/300 [1:24:47<10:19:38, 140.83s/it]
epoch 36 | lr=0.001 | train loss 0.020 | val loss: 156.760 | test loss: 158.368 | best test loss 101.890 | best_test_delta 274.048:  12%|█▏        | 36/300 [1:27:06<10:19:38, 140.83s/it]
epoch 36 | lr=0.001 | train loss 0.020 | val loss: 156.760 | test loss: 158.368 | best test loss 101.890 | best_test_delta 274.048:  12%|█▏        | 37/300 [1:27:07<10:15:36, 140.44s/it]
epoch 37 | lr=0.001 | train loss 0.016 | val loss: 101.816 | test loss: 103.175 | best test loss 101.890 | best_test_delta 274.048:  12%|█▏        | 37/300 [1:29:25<10:15:36, 140.44s/it]
epoch 37 | lr=0.001 | train loss 0.016 | val loss: 101.816 | test loss: 103.175 | best test loss 101.890 | best_test_delta 274.048:  13%|█▎        | 38/300 [1:29:27<10:12:38, 140.30s/it]
epoch 38 | lr=0.001 | train loss 0.016 | val loss: 110.188 | test loss: 112.574 | best test loss 101.890 | best_test_delta 274.048:  13%|█▎        | 38/300 [1:31:45<10:12:38, 140.30s/it]
epoch 38 | lr=0.001 | train loss 0.016 | val loss: 110.188 | test loss: 112.574 | best test loss 101.890 | best_test_delta 274.048:  13%|█▎        | 39/300 [1:31:46<10:09:06, 140.02s/it]
epoch 39 | lr=0.001 | train loss 0.014 | val loss: 102.690 | test loss: 103.530 | best test loss 101.890 | best_test_delta 274.048:  13%|█▎        | 39/300 [1:34:05<10:09:06, 140.02s/it]
epoch 39 | lr=0.001 | train loss 0.014 | val loss: 102.690 | test loss: 103.530 | best test loss 101.890 | best_test_delta 274.048:  13%|█▎        | 40/300 [1:34:07<10:07:15, 140.13s/it]
epoch 40 | lr=0.001 | train loss 0.015 | val loss: 93.489 | test loss: 95.443 | best test loss 95.443 | best_test_delta 261.457:  13%|█▎        | 40/300 [1:36:25<10:07:15, 140.13s/it]   
epoch 40 | lr=0.001 | train loss 0.015 | val loss: 93.489 | test loss: 95.443 | best test loss 95.443 | best_test_delta 261.457:  14%|█▎        | 41/300 [1:36:27<10:04:41, 140.08s/it]
epoch 41 | lr=0.001 | train loss 0.016 | val loss: 112.363 | test loss: 113.893 | best test loss 95.443 | best_test_delta 261.457:  14%|█▎        | 41/300 [1:38:46<10:04:41, 140.08s/it]
epoch 41 | lr=0.001 | train loss 0.016 | val loss: 112.363 | test loss: 113.893 | best test loss 95.443 | best_test_delta 261.457:  14%|█▍        | 42/300 [1:38:48<10:04:07, 140.49s/it]
epoch 42 | lr=0.001 | train loss 0.012 | val loss: 109.512 | test loss: 110.755 | best test loss 95.443 | best_test_delta 261.457:  14%|█▍        | 42/300 [1:41:08<10:04:07, 140.49s/it]
epoch 42 | lr=0.001 | train loss 0.012 | val loss: 109.512 | test loss: 110.755 | best test loss 95.443 | best_test_delta 261.457:  14%|█▍        | 43/300 [1:41:10<10:03:35, 140.92s/it]
epoch 43 | lr=0.001 | train loss 0.016 | val loss: 97.388 | test loss: 99.340 | best test loss 95.443 | best_test_delta 261.457:  14%|█▍        | 43/300 [1:43:29<10:03:35, 140.92s/it]  
epoch 43 | lr=0.001 | train loss 0.016 | val loss: 97.388 | test loss: 99.340 | best test loss 95.443 | best_test_delta 261.457:  15%|█▍        | 44/300 [1:43:31<10:00:38, 140.78s/it]
epoch 44 | lr=0.001 | train loss 0.030 | val loss: 130.601 | test loss: 131.067 | best test loss 95.443 | best_test_delta 261.457:  15%|█▍        | 44/300 [1:45:49<10:00:38, 140.78s/it]
epoch 44 | lr=0.001 | train loss 0.030 | val loss: 130.601 | test loss: 131.067 | best test loss 95.443 | best_test_delta 261.457:  15%|█▌        | 45/300 [1:45:51<9:58:30, 140.82s/it] 
epoch 45 | lr=0.001 | train loss 0.016 | val loss: 102.204 | test loss: 102.288 | best test loss 95.443 | best_test_delta 261.457:  15%|█▌        | 45/300 [1:48:11<9:58:30, 140.82s/it]
epoch 45 | lr=0.001 | train loss 0.016 | val loss: 102.204 | test loss: 102.288 | best test loss 95.443 | best_test_delta 261.457:  15%|█▌        | 46/300 [1:48:13<9:56:43, 140.96s/it]
epoch 46 | lr=0.001 | train loss 0.021 | val loss: 108.731 | test loss: 109.708 | best test loss 95.443 | best_test_delta 261.457:  15%|█▌        | 46/300 [1:50:32<9:56:43, 140.96s/it]
epoch 46 | lr=0.001 | train loss 0.021 | val loss: 108.731 | test loss: 109.708 | best test loss 95.443 | best_test_delta 261.457:  16%|█▌        | 47/300 [1:50:34<9:55:04, 141.12s/it]
epoch 47 | lr=0.0007 | train loss 0.013 | val loss: 89.720 | test loss: 90.697 | best test loss 90.697 | best_test_delta 238.647:  16%|█▌        | 47/300 [1:52:54<9:55:04, 141.12s/it] 
epoch 47 | lr=0.0007 | train loss 0.013 | val loss: 89.720 | test loss: 90.697 | best test loss 90.697 | best_test_delta 238.647:  16%|█▌        | 48/300 [1:52:56<9:53:58, 141.42s/it]
epoch 48 | lr=0.0007 | train loss 0.013 | val loss: 82.113 | test loss: 82.522 | best test loss 82.522 | best_test_delta 227.770:  16%|█▌        | 48/300 [1:55:16<9:53:58, 141.42s/it]
epoch 48 | lr=0.0007 | train loss 0.013 | val loss: 82.113 | test loss: 82.522 | best test loss 82.522 | best_test_delta 227.770:  16%|█▋        | 49/300 [1:55:17<9:51:08, 141.31s/it]
epoch 49 | lr=0.0007 | train loss 0.015 | val loss: 102.071 | test loss: 102.842 | best test loss 82.522 | best_test_delta 227.770:  16%|█▋        | 49/300 [1:57:40<9:51:08, 141.31s/it]
epoch 49 | lr=0.0007 | train loss 0.015 | val loss: 102.071 | test loss: 102.842 | best test loss 82.522 | best_test_delta 227.770:  17%|█▋        | 50/300 [1:57:43<9:53:56, 142.55s/it]
epoch 50 | lr=0.0007 | train loss 0.017 | val loss: 117.900 | test loss: 119.608 | best test loss 82.522 | best_test_delta 227.770:  17%|█▋        | 50/300 [2:00:05<9:53:56, 142.55s/it]
epoch 50 | lr=0.0007 | train loss 0.017 | val loss: 117.900 | test loss: 119.608 | best test loss 82.522 | best_test_delta 227.770:  17%|█▋        | 51/300 [2:00:07<9:54:07, 143.16s/it]
epoch 51 | lr=0.0007 | train loss 0.021 | val loss: 82.596 | test loss: 83.330 | best test loss 82.522 | best_test_delta 227.770:  17%|█▋        | 51/300 [2:02:30<9:54:07, 143.16s/it]  
epoch 51 | lr=0.0007 | train loss 0.021 | val loss: 82.596 | test loss: 83.330 | best test loss 82.522 | best_test_delta 227.770:  17%|█▋        | 52/300 [2:02:32<9:52:54, 143.45s/it]
epoch 52 | lr=0.0007 | train loss 0.014 | val loss: 102.421 | test loss: 103.108 | best test loss 82.522 | best_test_delta 227.770:  17%|█▋        | 52/300 [2:04:53<9:52:54, 143.45s/it]
epoch 52 | lr=0.0007 | train loss 0.014 | val loss: 102.421 | test loss: 103.108 | best test loss 82.522 | best_test_delta 227.770:  18%|█▊        | 53/300 [2:04:55<9:50:56, 143.55s/it]
epoch 53 | lr=0.0007 | train loss 0.014 | val loss: 81.832 | test loss: 83.304 | best test loss 83.304 | best_test_delta 210.859:  18%|█▊        | 53/300 [2:07:17<9:50:56, 143.55s/it]  
epoch 53 | lr=0.0007 | train loss 0.014 | val loss: 81.832 | test loss: 83.304 | best test loss 83.304 | best_test_delta 210.859:  18%|█▊        | 54/300 [2:07:20<9:49:54, 143.88s/it]
epoch 54 | lr=0.0007 | train loss 0.012 | val loss: 77.353 | test loss: 78.507 | best test loss 78.507 | best_test_delta 197.325:  18%|█▊        | 54/300 [2:09:44<9:49:54, 143.88s/it]
epoch 54 | lr=0.0007 | train loss 0.012 | val loss: 77.353 | test loss: 78.507 | best test loss 78.507 | best_test_delta 197.325:  18%|█▊        | 55/300 [2:09:46<9:50:08, 144.52s/it]
epoch 55 | lr=0.0007 | train loss 0.012 | val loss: 82.968 | test loss: 83.937 | best test loss 78.507 | best_test_delta 197.325:  18%|█▊        | 55/300 [2:12:08<9:50:08, 144.52s/it]
epoch 55 | lr=0.0007 | train loss 0.012 | val loss: 82.968 | test loss: 83.937 | best test loss 78.507 | best_test_delta 197.325:  19%|█▊        | 56/300 [2:12:10<9:46:45, 144.29s/it]
epoch 56 | lr=0.0007 | train loss 0.016 | val loss: 93.937 | test loss: 94.902 | best test loss 78.507 | best_test_delta 197.325:  19%|█▊        | 56/300 [2:14:31<9:46:45, 144.29s/it]
epoch 56 | lr=0.0007 | train loss 0.016 | val loss: 93.937 | test loss: 94.902 | best test loss 78.507 | best_test_delta 197.325:  19%|█▉        | 57/300 [2:14:34<9:44:32, 144.33s/it]
epoch 57 | lr=0.0007 | train loss 0.010 | val loss: 84.375 | test loss: 85.873 | best test loss 85.873 | best_test_delta 195.345:  19%|█▉        | 57/300 [2:16:56<9:44:32, 144.33s/it]
epoch 57 | lr=0.0007 | train loss 0.010 | val loss: 84.375 | test loss: 85.873 | best test loss 85.873 | best_test_delta 195.345:  19%|█▉        | 58/300 [2:16:58<9:41:52, 144.27s/it]
epoch 58 | lr=0.0007 | train loss 0.015 | val loss: 75.238 | test loss: 75.781 | best test loss 75.781 | best_test_delta 187.420:  19%|█▉        | 58/300 [2:19:21<9:41:52, 144.27s/it]
epoch 58 | lr=0.0007 | train loss 0.015 | val loss: 75.238 | test loss: 75.781 | best test loss 75.781 | best_test_delta 187.420:  20%|█▉        | 59/300 [2:19:23<9:39:47, 144.35s/it]
epoch 59 | lr=0.0007 | train loss 0.009 | val loss: 78.365 | test loss: 79.154 | best test loss 75.781 | best_test_delta 187.420:  20%|█▉        | 59/300 [2:21:45<9:39:47, 144.35s/it]
epoch 59 | lr=0.0007 | train loss 0.009 | val loss: 78.365 | test loss: 79.154 | best test loss 75.781 | best_test_delta 187.420:  20%|██        | 60/300 [2:21:47<9:37:40, 144.42s/it]
epoch 60 | lr=0.0007 | train loss 0.012 | val loss: 71.893 | test loss: 72.934 | best test loss 75.781 | best_test_delta 187.420:  20%|██        | 60/300 [2:24:09<9:37:40, 144.42s/it]
epoch 60 | lr=0.0007 | train loss 0.012 | val loss: 71.893 | test loss: 72.934 | best test loss 75.781 | best_test_delta 187.420:  20%|██        | 61/300 [2:24:12<9:35:20, 144.44s/it]
epoch 61 | lr=0.0007 | train loss 0.009 | val loss: 79.319 | test loss: 80.157 | best test loss 75.781 | best_test_delta 187.420:  20%|██        | 61/300 [2:26:34<9:35:20, 144.44s/it]
epoch 61 | lr=0.0007 | train loss 0.009 | val loss: 79.319 | test loss: 80.157 | best test loss 75.781 | best_test_delta 187.420:  21%|██        | 62/300 [2:26:37<9:33:35, 144.60s/it]
epoch 62 | lr=0.0007 | train loss 0.011 | val loss: 72.901 | test loss: 73.758 | best test loss 73.758 | best_test_delta 171.292:  21%|██        | 62/300 [2:28:59<9:33:35, 144.60s/it]
epoch 62 | lr=0.0007 | train loss 0.011 | val loss: 72.901 | test loss: 73.758 | best test loss 73.758 | best_test_delta 171.292:  21%|██        | 63/300 [2:29:02<9:31:19, 144.64s/it]
epoch 63 | lr=0.0007 | train loss 0.012 | val loss: 137.618 | test loss: 138.292 | best test loss 73.758 | best_test_delta 171.292:  21%|██        | 63/300 [2:31:24<9:31:19, 144.64s/it]
epoch 63 | lr=0.0007 | train loss 0.012 | val loss: 137.618 | test loss: 138.292 | best test loss 73.758 | best_test_delta 171.292:  21%|██▏       | 64/300 [2:31:26<9:28:25, 144.51s/it]
epoch 64 | lr=0.0007 | train loss 0.011 | val loss: 79.867 | test loss: 80.254 | best test loss 73.758 | best_test_delta 171.292:  21%|██▏       | 64/300 [2:33:48<9:28:25, 144.51s/it]  
epoch 64 | lr=0.0007 | train loss 0.011 | val loss: 79.867 | test loss: 80.254 | best test loss 73.758 | best_test_delta 171.292:  22%|██▏       | 65/300 [2:33:51<9:26:16, 144.58s/it]
epoch 65 | lr=0.0007 | train loss 0.015 | val loss: 76.948 | test loss: 77.612 | best test loss 73.758 | best_test_delta 171.292:  22%|██▏       | 65/300 [2:36:13<9:26:16, 144.58s/it]
epoch 65 | lr=0.0007 | train loss 0.015 | val loss: 76.948 | test loss: 77.612 | best test loss 73.758 | best_test_delta 171.292:  22%|██▏       | 66/300 [2:36:16<9:24:55, 144.85s/it]
